Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2013/6/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Test Item,Site No,Device ID,Idle_H_Vbat_880,Idle_H_Vcc_880,Idle_H_Total_880,Pin_H_880,Pout_H_880,Gain_H_880,Icc_H_Vbat_880,Icc_H_Vcc_880,Icc_H_Total_880,PAE_H_Total_880,ACP_L_H_880,ACP_U_H_880,ALT_L_H_880,ALT_U_H_880,EVM_H_880,2fo_H_880,3fo_H_880,Pin_H_915,Pout_H_915,Gain_H_915,Icc_H_Vbat_915,Icc_H_Vcc_915,Icc_H_Total_915,PAE_H_Total_915,ACP_L_H_915,ACP_U_H_915,ALT_L_H_915,ALT_U_H_915,EVM_H_915,2fo_H_915,3fo_H_915,Leakage_Current,Test Time,Index Time
Low Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
High Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
Enable,,,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,,
37,1,37,2.424666667,73.9776,76.4024,-0.333533333,26.97406667,27.655,6.321866667,388.2316,394.5532,37.14,-40.2536,-40.81173333,-52.6522,-52.5598,1.463,-12.59,-26.81893333,-0.1118,26.96926667,27.97233333,6.4064,392.8968,399.3030667,36.65833333,-41.57826667,-41.1762,-53.00046667,-52.59833333,1.577733333,-13.01333333,-28.94773333,4.657,399.103,13568.33333
38,1,38,2.598,74.68393333,77.28206667,-0.424533333,26.9654,27.73766667,6.5002,385.5902667,392.0905333,37.30066667,-39.24526667,-39.6314,-51.99486667,-51.92546667,1.606333333,-12.59166667,-26.99326667,-0.136133333,26.96993333,27.997,6.570066667,390.8941333,397.4640667,36.83333333,-40.57393333,-40.29086667,-52.45613333,-52.061,1.7674,-12.976,-29.59273333,4.652666667,385.5133333,15366.66667
39,1,39,2.449666667,73.1476,75.59773333,-0.606866667,26.96573333,27.92,6.270533333,379.6926,385.9635333,37.888,-39.46993333,-39.9634,-52.2002,-52.2028,1.530666667,-12.599,-27.79926667,-0.118466667,26.97226667,27.98233333,6.300066667,383.8294667,390.1294,37.54133333,-40.2786,-40.0172,-52.5828,-52.248,1.836066667,-12.87133333,-29.45106667,4.660333333,402.268,9994.333333
40,1,40,2.396333333,70.94493333,73.34106667,0.292133333,26.96106667,27.016,6.3372,381.2626,387.5995333,37.689,-38.86693333,-39.4074,-51.4422,-51.4868,1.586333333,-12.638,-25.7886,0.3612,26.97026667,27.50033333,6.331733333,382.9371333,389.2690667,37.606,-41.05893333,-40.7962,-52.44313333,-51.96366667,1.612733333,-12.678,-28.36206667,4.655666667,381.2756667,10893.66667
41,1,41,2.456333333,72.74393333,75.2004,-0.3392,26.9614,27.648,6.356533333,382.5512667,388.9078667,37.56633333,-39.4946,-40.0344,-52.4352,-52.42113333,1.473,-12.59433333,-27.00026667,-0.044466667,26.97426667,27.91,6.443733333,387.6484667,394.0917333,37.18333333,-41.07526667,-40.80886667,-53.13546667,-52.81433333,1.624066667,-12.94566667,-29.04573333,4.655333333,410.5876667,17402
42,1,42,2.361333333,70.2186,72.57973333,0.3508,26.97306667,26.96933333,6.2402,385.7029333,391.9432,37.376,-39.79193333,-40.33106667,-52.1572,-52.10713333,1.5,-12.60533333,-26.08593333,0.436533333,26.9716,27.42633333,6.2774,390.0118,396.2887333,36.957,-41.5946,-41.23686667,-52.84846667,-52.42366667,1.514066667,-12.88166667,-28.87606667,4.657666667,389.646,12590
43,1,43,2.392,73.32893333,75.72106667,-0.0502,26.96973333,27.368,6.261533333,382.6902667,388.9522,37.635,-39.59626667,-40.0934,-52.11086667,-52.10413333,1.370666667,-12.608,-27.0456,0.291533333,26.9746,27.57466667,6.2954,385.9061333,392.2014,37.36566667,-41.3226,-41.0082,-52.90713333,-52.65266667,1.567066667,-12.81533333,-29.26473333,4.654666667,365.2833333,11755.66667
44,1,44,2.571333333,77.1216,79.6934,-0.0202,26.9674,27.335,6.5092,387.0372667,393.5472,37.18,-39.2636,-39.88973333,-52.31053333,-52.3688,1.549333333,-12.609,-25.75493333,0.028866667,26.9696,27.83233333,6.5204,391.8254667,398.3460667,36.75,-41.32526667,-41.2522,-53.29713333,-52.91033333,1.5584,-12.857,-28.70706667,4.657333333,398.3366667,19774
45,1,45,2.340666667,68.36393333,70.70473333,0.0938,26.9774,27.23133333,6.228533333,383.0139333,389.2425333,37.67166667,-39.4636,-39.88073333,-51.89586667,-51.87113333,1.504333333,-12.61433333,-26.40526667,0.304866667,26.9776,27.56433333,6.2364,385.4658,391.7024,37.43933333,-40.95526667,-40.53386667,-52.60213333,-52.15533333,1.613066667,-12.78366667,-28.43973333,4.679,380.5206667,14062.33333
46,1,46,2.481666667,75.4646,77.9464,-0.2732,26.97506667,27.59466667,6.359533333,384.5652667,390.9248667,37.49,-39.3266,-39.94773333,-52.26353333,-52.26346667,1.549666667,-12.611,-26.82993333,-0.115133333,26.97093333,27.977,6.423733333,387.6604667,394.0840667,37.15366667,-41.35626667,-41.17553333,-53.1238,-52.70333333,1.594733333,-12.811,-29.66273333,4.655333333,385.7246667,11213.66667
